"","time","Flow_intake","Flow_TSG","Flow_PCO"
"1",2024-04-13 00:00:00,999,17.6,3.03
"2",2024-04-13 00:00:01,999,17.6,3.03
"3",2024-04-13 00:00:02,999,17.6,3.02
"4",2024-04-13 00:00:03,999,17.6,3.01
"5",2024-04-13 00:00:04,999,17.5,3.01
"6",2024-04-13 00:00:05,999,17.5,3.02
"7",2024-04-13 00:00:06,999,17.5,3.02
"8",2024-04-13 00:00:07,999,17.6,3.02
"9",2024-04-13 00:00:08,999,17.6,3.02
"10",2024-04-13 00:00:09,999,17.6,3.02
"11",2024-04-13 00:00:10,999,17.6,3.03
"12",2024-04-13 00:00:11,999,17.6,3.05
"13",2024-04-13 00:00:12,999,17.6,3.04
"14",2024-04-13 00:00:13,999,17.5,3.03
"15",2024-04-13 00:00:14,999,17.6,3.03
"16",2024-04-13 00:00:15,999,17.6,3.03
"17",2024-04-13 00:00:16,999,17.7,3.03
"18",2024-04-13 00:00:17,999,17.7,3.05
"19",2024-04-13 00:00:18,999,17.6,3.06
"20",2024-04-13 00:00:19,999,17.6,3.08
"21",2024-04-13 00:00:20,999,17.6,3.09
"22",2024-04-13 00:00:21,999,17.6,3.09
"23",2024-04-13 00:00:22,999,17.6,3.07
"24",2024-04-13 00:00:23,999,17.6,3.06
"25",2024-04-13 00:00:24,999,17.6,3.03
"26",2024-04-13 00:00:25,999,17.6,3.03
"27",2024-04-13 00:00:26,999,17.6,3.05
"28",2024-04-13 00:00:27,999,17.6,3.06
"29",2024-04-13 00:00:28,999,17.6,3.07
"30",2024-04-13 00:00:29,999,17.6,3.07
"31",2024-04-13 00:00:30,999,17.6,3.05
"32",2024-04-13 00:00:31,999,17.6,3
"33",2024-04-13 00:00:32,999,17.5,2.99
"34",2024-04-13 00:00:33,999,17.6,3.01
"35",2024-04-13 00:00:34,999,17.6,3.03
"36",2024-04-13 00:00:35,999,17.6,3.05
"37",2024-04-13 00:00:36,999,17.6,3.03
"38",2024-04-13 00:00:37,999,17.5,3.03
"39",2024-04-13 00:00:38,999,17.6,3.02
"40",2024-04-13 00:00:39,999,17.6,3.01
"41",2024-04-13 00:00:40,999,17.6,3.02
"42",2024-04-13 00:00:41,999,17.6,3.01
"43",2024-04-13 00:00:42,999,17.6,3.02
"44",2024-04-13 00:00:43,999,17.5,3.01
"45",2024-04-13 00:00:44,999,17.5,3.02
"46",2024-04-13 00:00:45,999,17.6,3.02
"47",2024-04-13 00:00:46,999,17.7,3.02
"48",2024-04-13 00:00:47,999,17.7,3.02
"49",2024-04-13 00:00:48,999,17.7,3.02
"50",2024-04-13 00:00:49,999,17.5,3.01
"51",2024-04-13 00:00:50,999,17.5,3.03
"52",2024-04-13 00:00:51,999,17.6,3.05
"53",2024-04-13 00:00:52,999,17.6,3.05
"54",2024-04-13 00:00:53,999,17.7,3.02
"55",2024-04-13 00:00:54,999,17.6,3.01
"56",2024-04-13 00:00:55,999,17.6,2.99
"57",2024-04-13 00:00:56,999,17.5,3.01
"58",2024-04-13 00:00:57,999,17.6,3.02
"59",2024-04-13 00:00:58,999,17.7,3.03
"60",2024-04-13 00:00:59,999,17.7,3.03
"61",2024-04-13 00:01:00,999,17.6,3.01
"62",2024-04-13 00:01:01,999,17.6,3.01
"63",2024-04-13 00:01:02,999,17.5,3.01
"64",2024-04-13 00:01:03,999,17.6,3.02
"65",2024-04-13 00:01:04,999,17.6,3.02
"66",2024-04-13 00:01:05,999,17.6,3.02
"67",2024-04-13 00:01:06,999,17.6,3.02
"68",2024-04-13 00:01:07,999,17.6,3.02
"69",2024-04-13 00:01:08,999,17.6,3.04
"70",2024-04-13 00:01:09,999,17.6,3.06
"71",2024-04-13 00:01:10,999,17.6,3.07
"72",2024-04-13 00:01:11,999,17.6,3.06
"73",2024-04-13 00:01:12,999,17.6,3.05
"74",2024-04-13 00:01:13,999,17.6,3.06
"75",2024-04-13 00:01:14,999,17.6,3.06
"76",2024-04-13 00:01:15,999,17.6,3.08
"77",2024-04-13 00:01:16,999,17.7,3.08
"78",2024-04-13 00:01:17,999,17.7,3.08
"79",2024-04-13 00:01:18,999,17.7,3.09
"80",2024-04-13 00:01:19,999,17.6,3.08
"81",2024-04-13 00:01:20,999,17.6,3.07
"82",2024-04-13 00:01:21,999,17.6,3.06
"83",2024-04-13 00:01:22,999,17.6,3.03
"84",2024-04-13 00:01:23,999,17.6,3.03
"85",2024-04-13 00:01:24,999,17.6,3.06
"86",2024-04-13 00:01:25,999,17.6,3.07
"87",2024-04-13 00:01:26,999,17.6,3.06
"88",2024-04-13 00:01:27,999,17.6,3.06
