"","O2Concentrationcomp","O2ConcentrationSV","o2sat_sw","o2percentsat","o2percentsatSV"
"1",264.483450197765,282.650615929713,281.320880021654,94.014866645308,100.472675866774
"2",264.131849330325,282.28309867259,281.320880021654,94.014866645308,100.472675866774
"3",264.4766623908,282.643465965638,281.317024048125,94.014866645308,100.472675866774
"4",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"5",264.4766623908,282.643465965638,281.317024048125,94.014866645308,100.472675866774
"6",264.118880588865,282.269438096241,281.313503459113,94.014866645308,100.472675866774
"7",264.4766623908,282.643465965638,281.317024048125,94.014866645308,100.472675866774
"8",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"9",264.822597686846,283.005065096412,281.313503459113,94.014866645308,100.472675866774
"10",265.175281887818,283.373823672051,281.313503459113,94.014866645308,100.472675866774
"11",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"12",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"13",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"14",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"15",264.470465026445,282.636937946617,281.313503459113,94.014866645308,100.472675866774
"16",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"17",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"18",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"19",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"20",264.112101804692,282.262297688615,281.309647666243,94.014866645308,100.472675866774
"21",264.112101804692,282.262297688615,281.309647666243,94.014866645308,100.472675866774
"22",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"23",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"24",264.463677654333,282.629788440449,281.309647666243,94.014866645308,100.472675866774
"25",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"26",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"27",264.10591267829,282.255778394768,281.306127242164,94.014866645308,100.472675866774
"28",264.10591267829,282.255778394768,281.306127242164,94.014866645308,100.472675866774
"29",265.515479958928,283.7294807503,281.306127242164,94.014866645308,100.472675866774
"30",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"31",264.099232563755,282.24874192027,281.302327507701,94.014866645308,100.472675866774
"32",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"33",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"34",264.457480686999,282.623260839502,281.306127242164,94.014866645308,100.472675866774
"35",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"36",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"37",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"38",265.155559080933,283.353048245475,281.302327507701,94.014866645308,100.472675866774
"39",264.099232563755,282.24874192027,281.302327507701,94.014866645308,100.472675866774
"40",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"41",264.444497179367,282.609584608299,281.298751370794,94.014866645308,100.472675866774
"42",264.099232563755,282.24874192027,281.302327507701,94.014866645308,100.472675866774
"43",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"44",264.450792109492,282.616215398891,281.302327507701,94.014866645308,100.472675866774
"45",264.09294559854,282.242119568104,281.298751370794,94.014866645308,100.472675866774
"46",264.444497179367,282.609584608299,281.298751370794,94.014866645308,100.472675866774
"47",264.444497179367,282.609584608299,281.298751370794,94.014866645308,100.472675866774
"48",264.444497179367,282.609584608299,281.298751370794,94.014866645308,100.472675866774
"49",264.09294559854,282.242119568104,281.298751370794,94.014866645308,100.472675866774
"50",264.444497179367,282.609584608299,281.298751370794,94.014866645308,100.472675866774
"51",264.437809030343,282.602539618892,281.294951814337,94.014866645308,100.472675866774
"52",264.437809030343,282.602539618892,281.294951814337,94.014866645308,100.472675866774
"53",264.086265911985,282.235083544239,281.294951814337,94.014866645308,100.472675866774
"54",264.437809030343,282.602539618892,281.294951814337,94.014866645308,100.472675866774
"55",264.437809030343,282.602539618892,281.294951814337,94.014866645308,100.472675866774
"56",264.437809030343,282.602539618892,281.294951814337,94.014866645308,100.472675866774
"57",265.136232587187,283.332690283188,281.291375844967,94.014866645308,100.472675866774
"58",264.431514503481,282.595909252944,281.291375844967,94.014866645308,100.472675866774
"59",264.431514503481,282.595909252944,281.291375844967,94.014866645308,100.472675866774
"60",264.086265911985,282.235083544239,281.294951814337,94.014866645308,100.472675866774
"61",264.431514503481,282.595909252944,281.291375844967,94.014866645308,100.472675866774
"62",264.431514503481,282.595909252944,281.291375844967,94.014866645308,100.472675866774
"63",264.431514503481,282.595909252944,281.291375844967,94.014866645308,100.472675866774
"64",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"65",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"66",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"67",264.073791205387,282.221943356575,281.287855829455,94.014866645308,100.472675866774
"68",265.13002089027,283.32614706357,281.287855829455,94.014866645308,100.472675866774
"69",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"70",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"71",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
"72",264.425318519551,282.589382687542,281.287855829455,94.014866645308,100.472675866774
