DATE_TIME_STAMP DATA_SOURCE_NAME TSGOUT
2024-04-13 00:03:35.811 COM3 9332         3.46635        -0.00000         2.985313         2.0879         8.184         5.0061        32.1098901        32.3259
2024-04-13 00:03:40.810 COM3 9333         3.46207        -0.00000         2.985414         1.9536         8.184         5.0794        32.1098901        32.3314
2024-04-13 00:03:45.808 COM3 9334         3.46037        -0.00000         2.985314         1.9292         8.184         4.9939        32.0952381        32.3319
2024-04-13 00:03:50.807 COM3 9335         3.46037        -0.00000         2.985414         1.9414         8.184         5.3846        32.1098901        32.3331
2024-04-13 00:03:55.837 COM3 9336         3.46037        -0.00000         2.985511         1.9414         8.184         5.6777        32.1098901        32.3343
2024-04-13 00:04:00.805 COM3 9337         3.46126        -0.00000         2.985414         1.9536         8.184         5.1526        32.1098901        32.3322
2024-04-13 00:04:05.819 COM3 9338         3.46296        -0.00000         2.985414         1.9414         8.184         5.4212        32.0952381        32.3305
2024-04-13 00:04:10.818 COM3 9339         3.46296        -0.00000         2.985414         1.9536         8.184         5.2869        32.0952381        32.3305
2024-04-13 00:04:15.817 COM3 9340         3.46465        -0.00000         2.985414         1.9536         8.184         5.2381        32.1098901        32.3288
2024-04-13 00:04:20.800 COM3 9341         3.46377        -0.00000         2.985313         1.9414         8.184         5.2625        32.1098901        32.3285
2024-04-13 00:04:25.815 COM3 9342         3.46547        -0.00000         2.985313         1.9414         8.184         5.0794        32.1098901        32.3268
2024-04-13 00:04:30.814 COM3 9343         3.46547        -0.00000         2.985414         1.9292         8.184         5.3602        32.1098901        32.3280
2024-04-13 00:04:35.812 COM3 9344         3.46547        -0.00000         2.985414         1.9536         8.184         5.6288        32.0952381        32.3280
2024-04-13 00:04:40.811 COM3 9345         3.46296        -0.00000         2.985511         1.9292         8.184         4.4811        32.0952381        32.3317
2024-04-13 00:04:45.810 COM3 9346         3.46207        -0.00000         2.985414         1.9414         8.184         5.5678        32.0805861        32.3314
2024-04-13 00:04:50.809 COM3 9347         3.46037        -0.00000         2.985414         1.9414         8.184         5.3236        32.0805861        32.3331
2024-04-13 00:04:55.823 COM3 9348         3.45786        -0.00000         2.985511         1.9536         8.184         4.8352        32.0805861        32.3368
2024-04-13 00:05:00.822 COM3 9349         3.45616        -0.00000         2.985611         1.9292         8.184         4.7253        32.0805861        32.3397
2024-04-13 00:05:05.821 COM3 9350         3.45446        -0.00000         2.985511         1.9414         8.184         5.2259        32.0805861        32.3402
2024-04-13 00:05:10.804 COM3 9351         3.45364        -0.00000         2.985511         1.9536         8.184         5.1282        32.0805861        32.3410
2024-04-13 00:05:15.818 COM3 9352         3.45276        -0.00000         2.985314         1.9414         8.184         5.4701        32.0805861        32.3395
2024-04-13 00:05:20.802 COM3 9353         3.45364        -0.00000         2.985213         1.9292         8.184         5.3114        32.0805861        32.3374
2024-04-13 00:05:25.816 COM3 9354         3.45704        -0.00000         2.985113         1.9536         8.184         6.6178        32.0952381        32.3328
2024-04-13 00:05:30.799 COM3 9355         3.45956        -0.00000         2.985016         1.9414         8.184         5.9463        32.0805861        32.3292
2024-04-13 00:05:35.814 COM3 9356         3.46207        -0.00000         2.985016         1.9414         8.184         5.4090        32.0805861        32.3266
2024-04-13 00:05:40.797 COM3 9357         3.46547        -0.00000         2.984916         1.9536         8.184         5.2015        32.0952381        32.3221
