"","time","FluorescenceUV"
"124",2024-10-08 18:00:00,1.8437
"125",2024-10-08 19:00:00,1.7827
"126",2024-10-08 20:00:00,1.7705
"127",2024-10-08 21:00:00,1.77682330476476
"128",2024-10-08 22:00:00,1.74009157839202
"129",2024-10-08 23:00:00,1.8315
"130",2024-10-09,1.94734258857532
"131",2024-10-09 01:00:00,1.95955887493438
"132",2024-10-09 02:00:00,1.9414
"133",2024-10-09 03:00:00,1.9292
"134",2024-10-09 04:00:00,1.92304629862781
"135",2024-10-09 05:00:00,1.94748169650245
"136",2024-10-09 06:00:00,1.94754758955911
"137",2024-10-09 07:00:00,2.1368
"138",2024-10-09 08:00:00,1.98412196865058
"139",2024-10-09 09:00:00,1.97792410219473
"140",2024-10-09 10:00:00,1.9658
"141",2024-10-09 11:00:00,1.9658
"142",2024-10-09 12:00:00,1.88640109319422
"143",2024-10-09 13:00:00,2.5825040538337
"144",2024-10-09 14:00:00,2.5519
"145",2024-10-09 15:00:00,2.38721836381997
"146",2024-10-09 16:00:00,2.9122159232234
"147",2024-10-09 17:00:00,2.3321
"148",2024-10-09 18:00:00,2.1245
"149",2024-10-09 19:00:00,2.00793501886607
"150",2024-10-09 20:00:00,1.87998487713621
"151",2024-10-09 21:00:00,1.99059654881451
"152",2024-10-09 22:00:00,1.97846762992306
"153",2024-10-09 23:00:00,2.0024
"154",2024-10-10,1.9355534015843
"155",2024-10-10 01:00:00,1.99392072454641
"156",2024-10-10 02:00:00,1.88614120833529
"157",2024-10-10 03:00:00,1.97157804532738
"158",2024-10-10 04:00:00,1.9414
"159",2024-10-10 05:00:00,1.9658
"160",2024-10-10 06:00:00,1.99667326880419
"161",2024-10-10 07:00:00,1.9658
"162",2024-10-10 08:00:00,1.9902
"163",2024-10-10 09:00:00,2.04561850801512
"164",2024-10-10 10:00:00,1.917
"165",2024-10-10 11:00:00,1.97146681334568
"166",2024-10-10 12:00:00,2.04566979396275
"167",2024-10-10 13:00:00,1.9292
"168",2024-10-10 14:00:00,1.93580587752647
"169",2024-10-10 15:00:00,1.99577973114825
"170",2024-10-10 16:00:00,1.9414
"171",2024-10-10 17:00:00,1.95916675328875
"172",2024-10-10 18:00:00,1.9658
"173",2024-10-10 19:00:00,1.58061736776944
"174",2024-10-10 20:00:00,1.49507934980194
"175",2024-10-10 21:00:00,1.4652
"176",2024-10-10 22:00:00,1.6606
"177",2024-10-10 23:00:00,1.94816194890364
"178",2024-10-11,2.04452764539455
"179",2024-10-11 01:00:00,2.04589165138812
"180",2024-10-11 02:00:00,2.0391
"181",2024-10-11 03:00:00,1.87348876168606
"182",2024-10-11 04:00:00,1.73917639536868
"183",2024-10-11 05:00:00,1.5629
"184",2024-10-11 06:00:00,1.55604222835769
"185",2024-10-11 07:00:00,1.6254838766557
"186",2024-10-11 08:00:00,1.5751
"187",2024-10-11 09:00:00,1.60479599202451
"188",2024-10-11 10:00:00,1.6589526705958
"189",2024-10-11 11:00:00,1.58900751483006
"190",2024-10-11 12:00:00,1.64137072778379
"191",2024-10-11 13:00:00,1.6117
"192",2024-10-11 14:00:00,1.60987881170629
"193",2024-10-11 15:00:00,1.5873
"194",2024-10-11 16:00:00,1.53332128438314
"195",2024-10-11 17:00:00,1.5263
"196",2024-10-11 18:00:00,1.6728
"197",2024-10-11 19:00:00,1.70231038224903
"198",2024-10-11 20:00:00,1.59749302086317
"199",2024-10-11 21:00:00,1.48453167139319
"200",2024-10-11 22:00:00,1.48746652025595
"201",2024-10-11 23:00:00,1.4774
"202",2024-10-12,1.48239458144382
"203",2024-10-12 01:00:00,1.48242008399259
"204",2024-10-12 02:00:00,1.49456757729884
"205",2024-10-12 03:00:00,1.4896
"206",2024-10-12 04:00:00,1.49684824961466
"207",2024-10-12 05:00:00,1.5018
"208",2024-10-12 06:00:00,1.49451758370142
"209",2024-10-12 07:00:00,1.85578613789313
"210",2024-10-12 08:00:00,1.5385
"211",2024-10-12 09:00:00,1.5507
