"X","time","Flow_intake","Flow_TSG","Conductivity_S_m","Fluorescence","FluorescenceUV","O2Concentration_ml_L","pH","salinity_PSU","Temperature_TSG_ITS_90","latitude","longitude"
20,"2024-10-04 10:00:00",999,0.1,0.020501,0.1343,0.293,6.37928355821735,5.612,0.109,20.37475,44.6753018333333,63.6081671666667
21,"2024-10-04 11:00:00",999,0.1,0.020501,0.1343,0.297041954057715,6.38551301778464,5.60964307075517,0.109,20.3837196869433,44.6753018006666,63.6081663333333
22,"2024-10-04 12:00:00",999,0.1,0.020501,0.1343,0.293,6.37368526720199,5.613,0.1089,20.4343352438207,44.6753013333333,63.608165
23,"2024-10-04 13:00:00",999,0.1,0.0204350065617249,0.1343,0.2808,6.38523011877338,5.613,0.108466699806691,20.44441,44.6753013333333,63.6081648333333
24,"2024-10-04 14:00:00",999,0.1,0.020402,0.1343,0.3297,6.37385048655456,5.61467098712183,0.1083,20.46937,44.6753075713333,63.6081725476667
25,"2024-10-04 15:00:00",999,0.1,0.020402,0.1343,0.313412182417166,6.37171349275282,5.617,0.1083,20.4428789077806,44.5537096051082,63.5274514229238
26,"2024-10-04 16:00:00",999,0.1,0.020402,0.1343,0.301277755293057,6.968341944108,5.10168933781491,0.1083,20.4711037647597,44.3836449766646,63.4563866893325
27,"2024-10-04 17:00:00",999,0.1,0.020402,0.1343,0.293,4.88506324854482,4.501,0.1082,20.47595,44.2635352148328,63.3164341951616
28,"2024-10-04 18:00:00",999,0.1,0.020402,0.142357108593599,0.309180259060916,6.30995856042248,4.3213020936859,0.1081,20.56648,44.2502900043329,63.1650861593346
29,"2024-10-04 19:00:00",999,21.7443089448623,4.07540850923128,0.407066211667002,1.5263,5.13904503326227,8.13129253620205,31.0519219101366,17.4636024598593,44.1777769199991,63.1430344366663
30,"2024-10-04 20:00:00",999,21.7759842333986,4.08358735967085,0.5819121222897,1.4613757554206,5.13592917816465,8.129,31.1665626925341,17.4048500099946,44.0115290560051,63.0894292120018
31,"2024-10-04 21:00:00",999,22.2544468429964,4.09555627132284,0.5617,1.42059887613602,5.13224241699149,8.13037668070033,31.3053246638599,17.35704,43.8415606966994,63.0354190525533
32,"2024-10-04 22:00:00",999,22.4318897586058,4.11467249860201,0.581854088778825,1.38822662499334,5.11586571826009,8.133,31.406404407653,17.4368696968366,43.6769408435109,62.9563310990994
33,"2024-10-04 23:00:00",999,22,4.13285589331662,0.529245934053942,1.37174593405394,5.09512969275502,8.137,31.5049215780948,17.50928,43.544766709665,62.8925883189993
34,"2024-10-05",999,22.3718226616953,4.14402632149274,0.517067429299897,1.4042,5.07564516402729,8.142,31.5403448525008,17.5859424382833,43.4132025525513,62.8276507926254
35,"2024-10-05 01:00:00",999,22.1771653909161,4.19190818463781,0.464,1.32660962203333,5.07089961681775,8.147,31.9955076615448,17.5246121024146,43.2803221200004,62.7647201666668
36,"2024-10-05 02:00:00",999,22.126829262974,4.27904374518802,0.361950328844107,1.24974967115589,5.02483595546343,8.15142612169046,32.3890165903387,17.962176418857,43.1466818739961,62.7009433464983
37,"2024-10-05 03:00:00",999,22.2800000190735,4.15514949969603,0.423042468574317,1.3553,5.11225884973988,8.147,31.8049273854581,17.3683077875394,43.0062717739492,62.6330583211938
38,"2024-10-05 04:00:00",999,22.4251798516728,4.19676605300972,0.407219663823608,1.3187,5.04759538934891,8.156,32.0218062212416,17.5437736867314,42.8786603516709,62.5708664100018
39,"2024-10-05 05:00:00",999,22.3913043343052,4.45545003161078,0.32534529823336,1.2088,4.89226815127046,8.17542777107103,33.1508215286161,18.8630001760453,42.7555669966696,62.5121063433346
40,"2024-10-05 06:00:00",999,22.7,4.63544391305151,0.264219001749843,1.15211690807188,4.74263127915996,8.1894363928689,33.7633513687521,19.9484851691731,42.6333912291688,62.4584934041675
41,"2024-10-05 07:00:00",999,22.4,4.68913526125654,0.264212002226703,1.1355,4.69024864029345,8.191,33.9648079015846,20.2414195339444,42.498351641669,62.3908142293345
42,"2024-10-05 08:00:00",999,21.866463397053,4.587064,0.2808,1.15216087202059,4.76728503304622,8.184,33.6272,19.62513,42.3628235460013,62.3276814183339
43,"2024-10-05 09:00:00",999,21.8771149694814,4.45423724825303,0.2808,1.16771653044717,4.82672356636008,8.173,32.9636717447591,19.0850962133452,42.2313534773335,62.2638535133334
44,"2024-10-05 10:00:00",999,22.2133004902966,4.437806,0.3297,1.1644794974437,4.82578436981284,8.163,32.7503,19.18312,42.1018396455,62.1954309821667
45,"2024-10-05 11:00:00",999,22.2,4.44036444898064,0.3219913964331,1.1799086035669,4.82216425218448,8.16484073624307,32.7556686674762,19.20317,42.1044420893333,62.1983374346668
46,"2024-10-05 12:00:00",999,22.4,4.51613446357672,0.2808,1.15674184212537,4.77930521680397,8.176,33.2151047561755,19.41147,42.1039921091666,62.4099827203367
47,"2024-10-05 13:00:00",999,22.1,4.40797555963458,0.2808,1.17988887109758,4.84757358834028,8.159,32.6754479058657,18.9650746669465,42.092187654488,62.6478401601551
48,"2024-10-05 14:00:00",999,22.1,4.50052984147945,0.224346719859446,1.1844,4.82212520974043,8.16886340977846,33.187005742793,19.2852611525559,42.0905503453454,62.8880844254292
49,"2024-10-05 15:00:00",999,22.21240159074,4.42222292563691,0.2198,1.16456711707239,4.86253630051025,8.159,32.7423733200318,19.0298749641782,42.0836695915915,63.1330674649692
50,"2024-10-05 16:00:00",999,22.2953999996185,4.520661,0.2564,1.16,4.77529021704922,8.171,33.1396,19.55327,42.0875206889999,63.394362874664
51,"2024-10-05 17:00:00",999,22.3483267639161,4.62533345913256,0.2198,1.16300883494435,4.73308786066304,8.174,33.6244135022805,20.0190346370931,42.0930204564563,63.6576858738692
52,"2024-10-05 18:00:00",999,22.3,4.35085120948445,0.2442,1.19954869939991,4.90285615614073,8.146,32.3714379151664,18.7484772609111,42.0927515,63.906808876666
53,"2024-10-05 19:00:00",999,22.3605000019073,4.35500683300385,0.2808,1.18903260460829,4.89744755572204,8.146,32.3954910537433,18.7619117295581,42.1017333766667,64.1580098050014
54,"2024-10-05 20:00:00",999,22.4,4.358061,0.3175,1.1890588917375,4.91400168049271,8.151,32.4463,18.72952,42.1095026000002,64.4115967199943
55,"2024-10-05 21:00:00",999,22.3309359539493,4.36890438707719,0.373835864769746,1.19193586476975,4.91092467442863,8.151,32.5538030019837,18.7075784990082,42.1125132965,64.6524021000029
56,"2024-10-05 22:00:00",999,22.3266999959946,4.3468432845166,0.361631982154388,1.19193198215439,4.93678304945608,8.152,32.6003591492963,18.4155069121608,42.1155483746667,64.893087036005
57,"2024-10-05 23:00:00",999,22.1,4.32211057220165,0.3663,1.20412584756047,4.96598137662444,8.149,32.5973298763495,18.1576161089317,42.1187220441667,65.1404586658381
58,"2024-10-06",999,22.4,4.07264654051776,0.773885737265687,1.46051426273431,7.58747907011918,8.122,31.6703356071728,16.6381116003605,42.1288667980001,65.3937783920069
59,"2024-10-06 01:00:00",999,22.4,3.96924641548338,1.4896,1.5995,3.02552838506202,8.11393538708443,31.535741848376,15.6674952290409,42.1338609048332,65.5014391914992
60,"2024-10-06 02:00:00",999,22.3,3.97287762452542,1.18359951974801,1.5581800960504,3.16698249058768,8.116,31.4355678735763,15.8334945029042,42.1338117999999,65.5024548933331
61,"2024-10-06 03:00:00",999,22.6060605038916,4.07252376027169,0.803179696741454,1.4408,4.65165621612623,8.122,31.6692777024323,16.6380799680955,42.0834274518365,65.5115313998326
62,"2024-10-06 04:00:00",999,22.1018000125885,4.29565905221047,0.398148369677659,1.2332,13.0405874102616,8.14705261052363,32.3324547309466,18.2109231606319,42.0003367159999,65.512331277
63,"2024-10-06 05:00:00",999,22.3840840932577,4.29885176430568,0.3907,1.22578675470759,5.29210966287162,8.149,32.3432507002795,18.2312550320131,41.9992297605001,65.5218823821664
64,"2024-10-06 06:00:00",999,22.4,4.32357752790642,0.388144809166414,1.221,8.17265876807699,8.14958111625679,32.4147557511578,18.40368,41.9998443840001,65.5114629933334
65,"2024-10-06 07:00:00",999,22.3455284279032,4.32581283087782,0.39809445569808,1.2088,5.12528488249837,8.152,32.4209122058521,18.4196103330775,41.9861879091678,65.5017953058346
66,"2024-10-06 08:00:00",999,22.2940886761992,4.343097,0.3785,1.20395892330838,1.50885886615006,8.14898404782444,32.4898984047824,18.5155620737828,41.8682402333324,65.3505730733331
67,"2024-10-06 09:00:00",999,22.4849999904633,4.34335422409057,0.3785,1.21614733904969,3.5572871328941,8.15001120452856,32.4960817927246,18.51041,41.8665594045977,65.349959229885
68,"2024-10-06 10:00:00",999,21.9556000232697,4.3476449118243,0.356789378519212,1.221,4.5563027988756,8.147,32.4983745491034,18.55294,41.8664014293334,65.3500247806667
69,"2024-10-06 11:00:00",999,22.4,4.342594,0.395821509804338,1.221,12.5814601316244,8.14990102057199,32.4716,18.5334,41.8642970699998,65.3493062161666
70,"2024-10-06 12:00:00",999,22.0685165352311,4.32399205128287,0.3663,1.22796025650986,3.61466387471723,8.148,32.4081134615458,18.41652,41.8524232716666,65.3489419793335
71,"2024-10-06 13:00:00",999,22.5246062749609,4.18343828056764,0.409819037876399,1.3256190378764,3.5683201488802,8.133,32.01709559122,17.4056730260745,41.8266578409986,65.395969977004
72,"2024-10-06 14:00:00",999,22.5092000007629,4.13689515941895,0.4274,1.3553,3.13306052861711,8.12221532094521,31.7389126293921,17.2536654244258,41.7669605506675,65.5796879666683
73,"2024-10-06 15:00:00",999,22.8,4.150248,0.323722489842555,1.34907751015745,2.69780090835402,8.129,31.7983,17.3234,41.7687663975001,65.5714505926671
74,"2024-10-06 16:00:00",999,22.2085365726601,4.1989366521733,0.3663,1.28854099377012,2.26254128809093,8.133,32.0466310558962,17.5356848447194,41.8244661386617,65.5885932703343
75,"2024-10-06 17:00:00",999,18.055389544646,4.1975730000067,0.347828514220423,1.31242851422042,5.07059516560793,8.13505622484576,32.007820481956,17.5701814859807,41.9866052230538,65.5577931062734
76,"2024-10-06 18:00:00",999,17.7369999885559,4.02683243685462,0.615425466036755,1.49609151132108,10.1230269189628,8.114,31.4504532091092,16.4123289648221,42.1497118613294,65.529762714667
