"","time","salinity_PSU"
"123",2024-10-08 17:00:00,31.2358476295261
"124",2024-10-08 18:00:00,32.0927551674798
"125",2024-10-08 19:00:00,32.1861107421423
"126",2024-10-08 20:00:00,32.2752626725345
"127",2024-10-08 21:00:00,32.3159895978915
"128",2024-10-08 22:00:00,32.3379188437763
"129",2024-10-08 23:00:00,32.409988933194
"130",2024-10-09,31.8768974194848
"131",2024-10-09 01:00:00,31.8555465297115
"132",2024-10-09 02:00:00,31.8518535507151
"133",2024-10-09 03:00:00,32.1975757327972
"134",2024-10-09 04:00:00,32.4940911964964
"135",2024-10-09 05:00:00,32.4313474495126
"136",2024-10-09 06:00:00,32.5055472694515
"137",2024-10-09 07:00:00,32.0035897049251
"138",2024-10-09 08:00:00,31.7222992797164
"139",2024-10-09 09:00:00,31.9989527995092
"140",2024-10-09 10:00:00,32.137348545051
"141",2024-10-09 11:00:00,32.1274016255381
"142",2024-10-09 12:00:00,32.2208480119185
"143",2024-10-09 13:00:00,32.0355051174017
"144",2024-10-09 14:00:00,32.0785455490986
"145",2024-10-09 15:00:00,31.9720606721477
"146",2024-10-09 16:00:00,31.5775642528553
"147",2024-10-09 17:00:00,31.9985449275631
"148",2024-10-09 18:00:00,32.6645529811546
"149",2024-10-09 19:00:00,32.3706731888334
"150",2024-10-09 20:00:00,32.2261455291078
"151",2024-10-09 21:00:00,31.8909
"152",2024-10-09 22:00:00,31.8414
"153",2024-10-09 23:00:00,31.8559734497446
"154",2024-10-10,31.6464562311865
"155",2024-10-10 01:00:00,31.667874314859
"156",2024-10-10 02:00:00,31.7937776155147
"157",2024-10-10 03:00:00,31.9299948625364
"158",2024-10-10 04:00:00,31.8296609623586
"159",2024-10-10 05:00:00,31.7697220044082
"160",2024-10-10 06:00:00,31.7707
"161",2024-10-10 07:00:00,31.7735
"162",2024-10-10 08:00:00,31.7412531607447
"163",2024-10-10 09:00:00,31.7769068607871
"164",2024-10-10 10:00:00,31.8124672085175
"165",2024-10-10 11:00:00,31.8005180436075
"166",2024-10-10 12:00:00,31.7700922984596
"167",2024-10-10 13:00:00,31.825831751096
"168",2024-10-10 14:00:00,31.8234707326855
"169",2024-10-10 15:00:00,31.7207
"170",2024-10-10 16:00:00,31.8317
"171",2024-10-10 17:00:00,31.8289281456266
"172",2024-10-10 18:00:00,31.8042
"173",2024-10-10 19:00:00,31.7031859621324
"174",2024-10-10 20:00:00,31.5853694762198
"175",2024-10-10 21:00:00,31.5424247706398
"176",2024-10-10 22:00:00,31.8413843869133
"177",2024-10-10 23:00:00,31.8662759613496
"178",2024-10-11,31.8040224444834
"179",2024-10-11 01:00:00,31.813965984358
"180",2024-10-11 02:00:00,31.8490650966138
"181",2024-10-11 03:00:00,31.8848908087557
"182",2024-10-11 04:00:00,31.8072033806695
"183",2024-10-11 05:00:00,31.5429413606423
"184",2024-10-11 06:00:00,31.4239313662711
"185",2024-10-11 07:00:00,31.441134386871
"186",2024-10-11 08:00:00,31.4444117823131
"187",2024-10-11 09:00:00,31.4846954137584
"188",2024-10-11 10:00:00,31.6273576116887
"189",2024-10-11 11:00:00,31.4433310338028
"190",2024-10-11 12:00:00,31.5198420538009
"191",2024-10-11 13:00:00,31.3798717693834
"192",2024-10-11 14:00:00,31.3035298555458
"193",2024-10-11 15:00:00,31.2666878575694
"194",2024-10-11 16:00:00,31.255254690932
"195",2024-10-11 17:00:00,31.281647109412
"196",2024-10-11 18:00:00,31.0268583182825
"197",2024-10-11 19:00:00,31.0720498700263
"198",2024-10-11 20:00:00,31.0861
"199",2024-10-11 21:00:00,31.2571
"200",2024-10-11 22:00:00,31.271471306075
"201",2024-10-11 23:00:00,31.2671
"202",2024-10-12,31.2745
"203",2024-10-12 01:00:00,31.2380942588528
"204",2024-10-12 02:00:00,31.2683556929197
"205",2024-10-12 03:00:00,31.2730517949724
"206",2024-10-12 04:00:00,31.3524217643537
"207",2024-10-12 05:00:00,31.4162
"208",2024-10-12 06:00:00,31.3779581516212
"209",2024-10-12 07:00:00,31.0711
"210",2024-10-12 08:00:00,31.0325997599455
"211",2024-10-12 09:00:00,31.0225126252534
"212",2024-10-12 10:00:00,31.0264683760668
"213",2024-10-12 11:00:00,30.9747761164992
"214",2024-10-12 12:00:00,31.2492
"215",2024-10-12 13:00:00,31.2761408560609
"216",2024-10-12 14:00:00,30.8318758754717
"217",2024-10-12 15:00:00,30.7060809523751
"218",2024-10-12 16:00:00,31.0117406813716
"219",2024-10-12 17:00:00,30.9504044088134
"220",2024-10-12 18:00:00,30.8482607214087
"221",2024-10-12 19:00:00,31.0177749499046
"222",2024-10-12 20:00:00,30.7272
"223",2024-10-12 21:00:00,31.0242353280121
"224",2024-10-12 22:00:00,30.3708759181161
"225",2024-10-12 23:00:00,30.30978765703
"226",2024-10-13,30.5050696629003
"227",2024-10-13 01:00:00,30.6018329621935
"228",2024-10-13 02:00:00,30.2696164506352
"229",2024-10-13 03:00:00,30.4912523629087
"230",2024-10-13 04:00:00,30.5664916382947
"231",2024-10-13 05:00:00,31.0104775427385
"232",2024-10-13 06:00:00,31.3412504300167
"233",2024-10-13 07:00:00,31.4221427602613
"234",2024-10-13 08:00:00,30.6928505783672
"235",2024-10-13 09:00:00,30.6677
"236",2024-10-13 10:00:00,30.217507459116
"237",2024-10-13 11:00:00,30.7387222624743
"238",2024-10-13 12:00:00,31.5159431885878
"239",2024-10-13 13:00:00,31.694181696349
"240",2024-10-13 14:00:00,31.6883593138642
"241",2024-10-13 15:00:00,31.6726169141328
"242",2024-10-13 16:00:00,31.6931053810772
"243",2024-10-13 17:00:00,31.7047
"244",2024-10-13 18:00:00,31.7059
"245",2024-10-13 19:00:00,31.7939426966203
"246",2024-10-13 20:00:00,31.9832924784877
"247",2024-10-13 21:00:00,31.9936
"248",2024-10-13 22:00:00,32.6444116372568
"249",2024-10-13 23:00:00,31.8503632952136
"250",2024-10-14,31.7526
"251",2024-10-14 01:00:00,32.0938093919408
"252",2024-10-14 02:00:00,32.9390766352991
"253",2024-10-14 03:00:00,33.0890996819126
"254",2024-10-14 04:00:00,33.0967324664925
"255",2024-10-14 05:00:00,32.1725026605062
"256",2024-10-14 06:00:00,31.937
"257",2024-10-14 07:00:00,31.968903480687
"258",2024-10-14 08:00:00,32.0005
"259",2024-10-14 09:00:00,31.767
"260",2024-10-14 10:00:00,31.7728936380016
"261",2024-10-14 11:00:00,31.7157888355423
"262",2024-10-14 12:00:00,31.6930512502596
"263",2024-10-14 13:00:00,31.9308194196121
"264",2024-10-14 14:00:00,32.8679565104696
"265",2024-10-14 15:00:00,32.856995009937
"266",2024-10-14 16:00:00,32.831283246911
"267",2024-10-14 17:00:00,32.9038896379247
"268",2024-10-14 18:00:00,33.3036449689934
"269",2024-10-14 19:00:00,33.0834617954924
"270",2024-10-14 20:00:00,32.8300369092681
"271",2024-10-14 21:00:00,32.6599495798505
"272",2024-10-14 22:00:00,32.7135166866772
"273",2024-10-14 23:00:00,32.5989220139785
"274",2024-10-15,33.3265321499707
