"","time","Fluorescence"
"125",2024-10-08 19:00:00,2.2466
"126",2024-10-08 20:00:00,2.1978
"127",2024-10-08 21:00:00,3.02765339047049
"128",2024-10-08 22:00:00,2.45900738094118
"129",2024-10-08 23:00:00,3.94976498496703
"130",2024-10-09,1.08701482284936
"131",2024-10-09 01:00:00,1.221
"132",2024-10-09 02:00:00,1.19642672510553
"133",2024-10-09 03:00:00,2.1301078365832
"134",2024-10-09 04:00:00,3.06491480548874
"135",2024-10-09 05:00:00,3.27838169650245
"136",2024-10-09 06:00:00,4.28665257133885
"137",2024-10-09 07:00:00,1.1845322104359
"138",2024-10-09 08:00:00,1.31253409404826
"139",2024-10-09 09:00:00,1.62996205109736
"140",2024-10-09 10:00:00,1.50805679325722
"141",2024-10-09 11:00:00,1.6663522555962
"142",2024-10-09 12:00:00,2.00254741599525
"143",2024-10-09 13:00:00,3.77847973083149
"144",2024-10-09 14:00:00,2.1734
"145",2024-10-09 15:00:00,1.65461836381997
"146",2024-10-09 16:00:00,2.90024776967019
"147",2024-10-09 17:00:00,1.72693872740338
"148",2024-10-09 18:00:00,1.91073335981372
"149",2024-10-09 19:00:00,1.83190887029068
"150",2024-10-09 20:00:00,1.37341818371681
"151",2024-10-09 21:00:00,1.12369654881451
"152",2024-10-09 22:00:00,1.0379
"153",2024-10-09 23:00:00,0.971394099534947
"154",2024-10-10,1.2151534015843
"155",2024-10-10 01:00:00,1.21355163054896
"156",2024-10-10 02:00:00,1.06168743767326
"157",2024-10-10 03:00:00,0.794296548317969
"158",2024-10-10 04:00:00,1.32514018516104
"159",2024-10-10 05:00:00,1.61304226889972
"160",2024-10-10 06:00:00,1.49960732759452
"161",2024-10-10 07:00:00,1.22515970208348
"162",2024-10-10 08:00:00,1.6484
"163",2024-10-10 09:00:00,2.34500596540981
"164",2024-10-10 10:00:00,2.227880112173
"165",2024-10-10 11:00:00,2.65699955996296
"166",2024-10-10 12:00:00,3.23754034813692
"167",2024-10-10 13:00:00,2.5284684084267
"168",2024-10-10 14:00:00,1.82691763257942
"169",2024-10-10 15:00:00,0.9158
"170",2024-10-10 16:00:00,1.18894653788523
"171",2024-10-10 17:00:00,1.75263324671125
"172",2024-10-10 18:00:00,1.4930877824394
"173",2024-10-10 19:00:00,1.08001736776944
"174",2024-10-10 20:00:00,1.05433804940581
"175",2024-10-10 21:00:00,1.0867
"176",2024-10-10 22:00:00,2.21183467775957
"177",2024-10-10 23:00:00,2.64292508515292
"178",2024-10-11,3.2112
"179",2024-10-11 01:00:00,3.03476678889506
"180",2024-10-11 02:00:00,2.57066656527318
"181",2024-10-11 03:00:00,2.2833
"182",2024-10-11 04:00:00,2.44344720926264
"183",2024-10-11 05:00:00,1.28055777617524
"184",2024-10-11 06:00:00,1.18974222835769
"185",2024-10-11 07:00:00,1.68127581498355
"186",2024-10-11 08:00:00,1.48802100462405
"187",2024-10-11 09:00:00,1.35690801595099
"188",2024-10-11 10:00:00,1.27150408075422
"189",2024-10-11 11:00:00,1.4042
"190",2024-10-11 12:00:00,1.42511637098483
"191",2024-10-11 13:00:00,1.22975586476975
"192",2024-10-11 14:00:00,1.20178940585315
"193",2024-10-11 15:00:00,1.08337117408295
"194",2024-10-11 16:00:00,0.8181
"195",2024-10-11 17:00:00,0.861757891378233
"196",2024-10-11 18:00:00,1.73785932183667
"197",2024-10-11 19:00:00,1.8559
"198",2024-10-11 20:00:00,1.80308604172634
"199",2024-10-11 21:00:00,1.15280987228391
"200",2024-10-11 22:00:00,1.15780777648651
"201",2024-10-11 23:00:00,1.0623
"202",2024-10-12,1.06950541855618
