"","time","Temperature_intake_ITS_90","Temperature_TSG_ITS_90","Conductivity_S_m","FluorescenceUV","pH","Fluorescence","O2Concentration_ml_L","salinity_PSU"
"1",2024-10-17 00:00:03.825,16.65471,16.66775,4.265884,1.2454,8.201,0.928,5.03841112157806,33.3276
"2",2024-10-17 00:00:08.839,16.63476,16.66842,4.265486,1.2454,8.201,0.9524,5.03217157328054,33.3235
"3",2024-10-17 00:00:13.822,16.65604,16.66914,4.265187,1.2332,8.201,0.928,5.03213547549761,33.3203
"4",2024-10-17 00:00:18.821,16.66089,16.6712,4.264686,1.2332,8.201,0.8913,5.03193894527372,33.3142
"5",2024-10-17 00:00:23.836,16.63703,16.67398,4.264586,1.2454,8.201,0.9035,5.0315171337753,33.3111
"6",2024-10-17 00:00:28.819,16.64226,16.67676,4.264586,1.2454,8.201,0.9035,5.01862181734979,33.3088
"7",2024-10-17 00:00:33.833,16.64057,16.68093,4.264785,1.2454,8.201,0.9158,5.03035146416757,33.307
"8",2024-10-17 00:00:38.832,16.64966,16.6851,4.265088,1.221,8.201,0.8913,5.04834171411327,33.3062
"9",2024-10-17 00:00:43.831,16.65723,16.68993,4.265386,1.2332,8.201,0.8913,4.87589371772777,33.3048
"10",2024-10-17 00:00:48.83,16.64802,16.6941,4.265685,1.2332,8.201,0.928,5.01555943981052,33.3039
"11",2024-10-17 00:00:53.813,16.64034,16.69827,4.266183,1.221,8.201,0.8791,5.00855447768183,33.3048
"12",2024-10-17 00:00:58.827,16.65678,16.70238,4.266883,1.2454,8.201,0.8791,5.02635517870749,33.3075
"13",2024-10-17 00:01:03.81,16.64543,16.70794,4.267182,1.2332,8.201,0.8669,5.02538488079583,33.3055
"14",2024-10-17 00:01:08.825,16.67314,16.71421,4.267779,1.221,8.201,0.8913,5.00558756134907,33.3055
"15",2024-10-17 00:01:13.808,16.65473,16.71833,4.268377,1.221,8.201,0.8791,5.01097305565722,33.3073
"16",2024-10-17 00:01:18.823,16.65873,16.72044,4.26858,1.2332,8.201,0.8669,5.01679300588547,33.3073
"17",2024-10-17 00:01:23.806,16.67094,16.7246,4.269476,1.2332,8.201,0.8425,5.04082363728095,33.3116
"18",2024-10-17 00:01:28.82,16.67258,16.72805,4.270073,1.2332,8.201,0.8425,5.04636475108601,33.314
"19",2024-10-17 00:01:33.85,16.65678,16.73149,4.270973,1.2454,8.201,0.8547,5.06439424574921,33.319
"20",2024-10-17 00:01:38.834,16.66087,16.73566,4.271671,1.2332,8.201,0.8791,5.01354198716667,33.3216
"21",2024-10-17 00:01:43.848,16.69601,16.73843,4.272567,1.221,8.201,0.8913,4.99427498787506,33.3271
"22",2024-10-17 00:01:48.816,16.66861,16.74188,4.273468,1.2332,8.201,0.8669,4.99967341621598,33.3321
"23",2024-10-17 00:01:53.846,16.67595,16.74537,4.273966,1.2332,8.201,0.8425,5.0113849696487,33.3335
"24",2024-10-17 00:01:58.829,16.6675,16.74882,4.274962,1.2332,8.201,0.8425,5.0043685705924,33.3393
"25",2024-10-17 00:02:03.828,16.68424,16.75159,4.275963,1.221,8.201,0.8425,4.97895101233481,33.3457
"26",2024-10-17 00:02:08.827,16.67466,16.75504,4.27666,1.221,8.201,0.8425,5.00913025902676,33.3489
"27",2024-10-17 00:02:13.825,16.68434,16.75853,4.277856,1.2332,8.201,0.8303,5.00205510691529,33.3565
"28",2024-10-17 00:02:18.824,16.67485,16.76059,4.278255,1.2454,8.201,0.8303,5.00162355605655,33.3582
"29",2024-10-17 00:02:23.823,16.68379,16.76475,4.279356,1.2332,8.201,0.8303,5.00066835901597,33.3644
"30",2024-10-17 00:02:28.838,16.68205,16.76686,4.279754,1.2332,8.201,0.8425,4.99403966135187,33.3661
"31",2024-10-17 00:02:33.836,16.70226,16.7703,4.280253,1.221,8.201,0.8303,4.98101467818763,33.3676
"32",2024-10-17 00:02:38.835,16.68619,16.77236,4.280851,1.2332,8.201,0.8181,5.01146392058525,33.3711
"33",2024-10-17 00:02:43.834,16.70979,16.77375,4.28145,1.221,8.201,0.8547,4.9801546135961,33.3751
"34",2024-10-17 00:02:48.817,16.72303,16.77585,4.281948,1.221,8.201,0.8181,4.96738526506159,33.3777
"35",2024-10-17 00:02:53.847,16.71867,16.77724,4.282547,1.2332,8.201,0.8181,5.02267417409726,33.3818
"36",2024-10-17 00:02:58.83,16.71642,16.77863,4.283344,1.221,8.201,0.8181,4.98504704081292,33.3876
"37",2024-10-17 00:03:03.829,16.70298,16.78068,4.283644,1.2332,8.201,0.8181,5.16117901107901,33.3885
"38",2024-10-17 00:03:08.828,16.69257,16.78207,4.284043,1.2088,8.201,0.8181,5.00907204873563,33.3908
"39",2024-10-17 00:03:13.827,16.69944,16.78412,4.284841,1.221,8.201,0.8181,4.97762012270823,33.396
