"","time","Flow_intake","Flow_TSG","Flow_PCO"
"1",2024-09-03 13:24:47.581,999,0,0
"2",2024-09-03 13:24:48.597,999,0,0
"3",2024-09-03 13:24:49.581,999,0,0
"4",2024-09-03 13:24:50.596,999,0,0
"5",2024-09-03 13:24:51.58,999,0,0
"6",2024-09-03 13:24:52.596,999,0,0
"7",2024-09-03 13:24:53.596,999,0,0
"8",2024-09-03 13:24:54.596,999,0,0
"9",2024-09-03 13:24:55.595,999,0,0
"10",2024-09-03 13:24:56.595,999,0,0
"11",2024-09-03 13:24:57.595,999,0,0
"12",2024-09-03 13:24:58.596,999,0,0
"13",2024-09-03 13:24:59.596,999,0,0
"14",2024-09-03 13:25:00.602,999,0,0
"15",2024-09-03 13:25:01.586,999,0,0
"16",2024-09-03 13:25:02.602,999,0,0
"17",2024-09-03 13:25:03.586,999,0,0
"18",2024-09-03 13:25:04.601,999,0,0
"19",2024-09-03 13:25:05.585,999,0,0
"20",2024-09-03 13:25:06.601,999,0,0
"21",2024-09-03 13:25:07.585,999,0,0
"22",2024-09-03 13:25:08.6,999,0,0
"23",2024-09-03 13:25:09.6,999,0,0
"24",2024-09-03 13:25:10.6,999,0,0
"25",2024-09-03 13:25:11.584,999,0,0
"26",2024-09-03 13:25:12.599,999,0,0
"27",2024-09-03 13:25:13.584,999,0,0
"28",2024-09-03 13:25:14.599,999,0,0
"29",2024-09-03 13:25:15.583,999,0,0
"30",2024-09-03 13:25:16.598,999,0,0
"31",2024-09-03 13:25:17.583,999,0,0
"32",2024-09-03 13:25:18.598,999,0,0
"33",2024-09-03 13:25:19.582,999,0,0
"34",2024-09-03 13:25:20.598,999,0,0
"35",2024-09-03 13:25:21.582,999,0,0
"36",2024-09-03 13:25:22.597,999,0,0
"37",2024-09-03 13:25:23.597,999,0,0
"38",2024-09-03 13:25:24.597,999,0,0
"39",2024-09-03 13:25:25.581,999,0,0
"40",2024-09-03 13:25:26.596,999,0,0
"41",2024-09-03 13:25:27.58,999,0,0
"42",2024-09-03 13:25:28.596,999,0,0
"43",2024-09-03 13:25:29.658,999,0,0
"44",2024-09-03 13:25:30.595,999,0,0
"45",2024-09-03 13:25:31.595,999,0,0
"46",2024-09-03 13:25:32.595,999,0,0
"47",2024-09-03 13:25:33.657,999,0,0
"48",2024-09-03 13:25:34.594,999,0,0
"49",2024-09-03 13:25:35.594,999,0,0
"50",2024-09-03 13:25:36.594,999,0,0
"51",2024-09-03 13:25:37.672,999,0,0
"52",2024-09-03 13:25:38.593,999,0,0
"53",2024-09-03 13:25:39.609,999,0,0
"54",2024-09-03 13:25:40.593,999,0,0
"55",2024-09-03 13:25:41.671,999,0,0
"56",2024-09-03 13:25:42.592,999,0,0
"57",2024-09-03 13:25:43.67,999,0,0
"58",2024-09-03 13:25:44.592,999,0,0
"59",2024-09-03 13:25:45.67,999,0,0
"60",2024-09-03 13:25:46.591,999,0,0
"61",2024-09-03 13:25:47.607,999,0,0
"62",2024-09-03 13:25:48.591,999,0,0
"63",2024-09-03 13:25:49.669,999,0,0
"64",2024-09-03 13:25:50.591,999,0,0
"65",2024-09-03 13:25:51.668,999,0,0
"66",2024-09-03 13:25:52.59,999,0,0
"67",2024-09-03 13:25:53.668,999,0,0
"68",2024-09-03 13:25:54.59,999,0,0
"69",2024-09-03 13:25:55.667,999,0,0
"70",2024-09-03 13:25:56.589,999,0,0
"71",2024-09-03 13:25:57.667,999,0,0
"72",2024-09-03 13:25:58.589,999,0,0
"73",2024-09-03 13:25:59.667,999,0,0
"74",2024-09-03 13:26:00.588,999,0,0
"75",2024-09-03 13:26:01.666,999,0,0
"76",2024-09-03 13:26:02.588,999,0,0
"77",2024-09-03 13:26:03.666,999,0,0
"78",2024-09-03 13:26:04.587,999,0,0
"79",2024-09-03 13:26:05.665,999,0,0
"80",2024-09-03 13:26:06.587,999,0,0
"81",2024-09-03 13:26:07.665,999,0,0
"82",2024-09-03 13:26:08.586,999,0,0
"83",2024-09-03 13:26:09.664,999,0,0
"84",2024-09-03 13:26:10.586,999,0,0
"85",2024-09-03 13:26:11.664,999,0,0
"86",2024-09-03 13:26:12.585,999,0,0
"87",2024-09-03 13:26:13.663,999,0,0
"88",2024-09-03 13:26:14.6,999,0,0
"89",2024-09-03 13:26:15.663,999,0,0
"90",2024-09-03 13:26:16.6,999,0,0
"91",2024-09-03 13:26:17.662,999,0,0
"92",2024-09-03 13:26:18.599,999,0,0
"93",2024-09-03 13:26:19.662,999,0,0
"94",2024-09-03 13:26:20.599,999,0,0
"95",2024-09-03 13:26:21.661,999,0,0
"96",2024-09-03 13:26:22.599,999,0,0
"97",2024-09-03 13:26:23.661,999,0,0
"98",2024-09-03 13:26:24.598,999,0,0
"99",2024-09-03 13:26:25.598,999,0,0
"100",2024-09-03 13:26:26.598,999,0,0
"101",2024-09-03 13:26:27.66,999,0,0
"102",2024-09-03 13:26:28.597,999,0,0
"103",2024-09-03 13:26:29.66,999,0,0
"104",2024-09-03 13:26:30.597,999,0,0
"105",2024-09-03 13:26:31.659,999,0,0
"106",2024-09-03 13:26:32.596,999,0,0
"107",2024-09-03 13:26:33.659,999,0,0
"108",2024-09-03 13:26:34.596,999,0,0
"109",2024-09-03 13:26:35.658,999,0,0
"110",2024-09-03 13:26:36.595,999,0,0
"111",2024-09-03 13:26:37.658,999,0,0
"112",2024-09-03 13:26:38.595,999,0,0
"113",2024-09-03 13:26:39.595,999,0,0
"114",2024-09-03 13:26:40.594,999,0,0
"115",2024-09-03 13:26:41.594,999,0,0
