"","time","Temperature_intake_ITS_90","Temperature_TSG_ITS_90","Conductivity_S_m","FluorescenceUV","pH","Fluorescence","O2Concentration_ml_L","salinity_PSU"
"1",2024-10-06 00:00:01.92,16.25972,16.63651,4.072264,1.4652,8.122,0.7692,8.21200084034753,31.6683
"2",2024-10-06 00:00:06.919,16.24683,16.62961,4.071762,1.453,8.122,0.7937,NA,31.6694
"3",2024-10-06 00:00:11.918,16.25743,16.62332,4.071365,1.4408,8.122,0.7692,14.978864310467,31.6709
"4",2024-10-06 00:00:16.917,16.23378,16.61709,4.070467,1.453,8.122,0.757,NA,31.668
"5",2024-10-06 00:00:21.931,16.24995,16.61014,4.070269,1.453,8.122,0.8059,NA,31.6718
"6",2024-10-06 00:00:26.914,16.26022,16.60251,4.069371,1.453,8.122,0.7937,NA,31.67
"7",2024-10-06 00:00:31.929,16.25328,16.58932,4.068173,1.453,8.123,0.7814,NA,31.6701
"8",2024-10-06 00:00:36.912,16.21672,16.57891,4.067275,1.4652,8.123,0.7937,NA,31.6705
"9",2024-10-06 00:00:41.926,16.20518,16.57196,4.066478,1.4652,8.123,0.8425,NA,31.6691
"10",2024-10-06 00:00:46.925,16.24692,16.56433,4.065581,1.4652,8.123,0.8425,NA,31.6674
"11",2024-10-06 00:00:51.924,16.17134,16.56155,4.064683,1.4652,8.123,0.8181,NA,31.6618
"12",2024-10-06 00:00:56.907,16.2847,16.55809,4.063987,1.4652,8.123,0.7937,9.70369011442957,31.6584
"13",2024-10-06 00:01:01.922,16.20161,16.55464,4.063486,1.4652,8.123,0.8181,NA,31.6568
"14",2024-10-06 00:01:06.921,16.18193,16.55046,4.063089,1.4652,8.123,0.8303,NA,31.6567
"15",2024-10-06 00:01:11.935,16.19454,16.54974,4.062689,1.4652,8.118,0.8059,NA,31.6538
"16",2024-10-06 00:01:16.934,16.13942,16.54835,4.06199,1.4774,8.123,0.8669,NA,31.6488
"17",2024-10-06 00:01:21.917,16.1168,16.54489,4.061594,1.4652,8.123,0.8303,NA,31.6481
"18",2024-10-06 00:01:26.931,16.13584,16.5435,4.061194,1.4774,8.118,0.8303,NA,31.6457
"19",2024-10-06 00:01:31.915,16.09218,16.54211,4.060696,1.4652,8.123,0.8425,NA,31.6425
"20",2024-10-06 00:01:36.929,16.17282,16.54005,4.060595,1.4774,8.123,0.8669,NA,31.6433
"21",2024-10-06 00:01:41.928,16.08141,16.53933,4.060195,1.4774,8.118,0.8425,NA,31.6404
"22",2024-10-06 00:01:46.927,16.07459,16.54144,4.059997,1.4652,8.123,0.8425,NA,31.637
"23",2024-10-06 00:01:51.926,16.13716,16.54417,4.059799,1.453,8.123,0.8669,9.43963522525949,31.6331
"24",2024-10-06 00:01:56.94,16.05182,16.54835,4.059698,1.453,8.123,0.8425,14.488043532548,31.6289
"25",2024-10-06 00:02:01.923,16.08641,16.55113,4.059597,1.453,8.123,0.8547,NA,31.6258
"26",2024-10-06 00:02:06.922,16.08018,16.55185,4.059698,1.453,8.123,0.8303,3.19920410474198,31.6261
"27",2024-10-06 00:02:11.921,16.05786,16.55325,4.059799,1.4652,8.123,0.8059,4.3948837738908,31.6259
"28",2024-10-06 00:02:16.935,16.09132,16.55325,4.059799,1.4652,8.118,0.8303,3.66480525276205,31.6259
