"","time","Temperature_intake_ITS_90","Temperature_TSG_ITS_90","Conductivity_S_m","FluorescenceUV","pH","Fluorescence","O2Concentration_ml_L","salinity_PSU"
"1",2024-10-09 00:00:02.435,16.16624,16.25317,4.061197,1.9414,8.133,1.0989,5.14252293553898,31.8768
"2",2024-10-09 00:00:07.434,16.09161,16.25457,4.061396,1.9536,8.133,1.1233,5.14223660440054,31.8774
"3",2024-10-09 00:00:12.448,16.06199,16.25669,4.061496,1.9414,8.133,1.1233,5.12280452426484,31.8766
"4",2024-10-09 00:00:17.431,16.17066,16.25876,4.061796,1.9536,8.133,1.1111,5.10973052170705,31.8775
"5",2024-10-09 00:00:22.43,16.02112,16.25949,4.061994,1.9536,8.133,1.0989,5.14125580613816,31.8787
"6",2024-10-09 00:00:27.429,16.12717,16.26156,4.062196,1.9414,8.133,1.1233,5.11547878745024,31.8788
"7",2024-10-09 00:00:32.443,16.1442,16.26229,4.062293,1.9536,8.133,1.1477,5.11533066638872,31.8791
"8",2024-10-09 00:00:37.427,16.11372,16.26368,4.062495,1.9414,8.133,1.0745,5.13406540577207,31.8797
"9",2024-10-09 00:00:42.441,16.16592,16.26643,4.062495,1.9414,8.133,1.1722,5.12726110566581,31.8775
"10",2024-10-09 00:00:47.44,16.08378,16.26922,4.062592,1.9414,8.133,1.0623,5.11410671510141,31.8761
"11",2024-10-09 00:00:52.439,16.1568,16.27062,4.062693,1.9414,8.138,1.0623,5.1138468688613,31.8759
"12",2024-10-09 00:00:57.422,16.16862,16.27342,4.062794,1.9536,8.133,1.0867,5.13872649995479,31.8745
"13",2024-10-09 00:01:02.452,16.07475,16.27621,4.062891,1.9414,8.133,1.0745,5.11286864243794,31.8732
"14",2024-10-09 00:01:07.42,16.13056,16.27761,4.063093,1.9536,8.133,1.1233,5.11258400273449,31.8738
"15",2024-10-09 00:01:12.434,16.15404,16.27901,4.063291,1.9536,8.133,1.0989,5.13130708930568,31.8744
"16",2024-10-09 00:01:17.448,16.08281,16.28108,4.063489,1.9414,8.133,1.0745,5.12456422740067,31.8745
"17",2024-10-09 00:01:22.432,16.14375,16.2832,4.06359,1.9536,8.133,1.1111,5.11152526724841,31.8737
"18",2024-10-09 00:01:27.446,16.06952,16.2846,4.063691,1.9536,8.138,1.1233,5.11126870208663,31.8734
"19",2024-10-09 00:01:32.445,16.17643,16.28667,4.063789,1.9658,8.133,1.1233,5.14262008062742,31.8726
"20",2024-10-09 00:01:37.428,16.16828,16.28879,4.06389,1.9658,8.133,1.1477,5.11684684789482,31.8718
"21",2024-10-09 00:01:42.427,16.11583,16.28946,4.06389,1.9536,8.133,1.0989,5.11041108587898,31.8713
"22",2024-10-09 00:01:47.457,16.11432,16.29158,4.06399,1.9658,8.133,1.0989,5.12269008912039,31.8705
"23",2024-10-09 00:01:52.425,16.09041,16.29158,4.064088,1.9414,8.133,1.1233,5.11633203804985,31.8713
"24",2024-10-09 00:01:57.439,16.16978,16.29293,4.06429,1.9536,8.133,1.0989,5.10973052635753,31.872
"25",2024-10-09 00:02:02.438,16.17637,16.29365,4.064387,1.9536,8.138,1.1233,5.10958452116985,31.8723
"26",2024-10-09 00:02:07.437,16.11725,16.29505,4.064488,1.978,8.133,1.1233,5.13467363844142,31.8721
"27",2024-10-09 00:02:12.436,16.1396,16.29572,4.064589,1.9658,8.133,1.1233,5.10918847764916,31.8724
"28",2024-10-09 00:02:17.45,16.13274,16.29712,4.064589,1.9536,8.133,1.0989,5.10895692178996,31.8713
"29",2024-10-09 00:02:22.433,16.16824,16.29784,4.064589,1.9658,8.133,1.2332,5.10883890657713,31.8707
"30",2024-10-09 00:02:27.432,16.16511,16.29852,4.064686,1.9536,8.133,1.1111,5.12135395935496,31.871
"31",2024-10-09 00:02:32.447,16.11329,16.29924,4.064787,1.9536,8.133,1.1111,5.10855455960182,31.8713
"32",2024-10-09 00:02:37.445,16.17664,16.30064,4.064787,1.9658,8.138,1.0989,5.1020112496449,31.8702
"33",2024-10-09 00:02:42.429,16.1028,16.30131,4.064888,1.9658,8.133,1.1844,5.13352973616865,31.8705
"34",2024-10-09 00:02:47.443,16.13352,16.30203,4.064985,1.978,8.133,1.1233,5.10804063007636,31.8708
"35",2024-10-09 00:02:52.426,16.18372,16.30203,4.065086,1.9658,8.138,1.0867,5.10801267423071,31.8717
"36",2024-10-09 00:02:57.456,16.10246,16.30203,4.065086,1.9658,8.133,1.1477,5.13335498666425,31.8717
"37",2024-10-09 00:03:02.424,16.16126,16.30343,4.065187,1.9658,8.133,1.1722,5.10775323496071,31.8715
"38",2024-10-09 00:03:07.438,16.13307,16.30343,4.065187,1.9658,8.133,1.16,5.11407397688533,31.8715
"39",2024-10-09 00:03:12.437,16.16629,16.3041,4.065285,1.9658,8.138,1.2576,5.10761679033512,31.8718
"40",2024-10-09 00:03:17.452,16.12822,16.3055,4.065285,1.9536,8.133,1.1844,5.13272460932698,31.8707
"41",2024-10-09 00:03:22.435,16.12725,16.30617,4.065386,1.9658,8.133,1.1722,5.10724889721329,31.871
"42",2024-10-09 00:03:27.434,16.16881,16.30757,4.065386,1.9658,8.138,1.1233,5.10701745803811,31.8699
"43",2024-10-09 00:03:32.464,16.18888,16.3083,4.065487,1.9658,8.138,1.1477,5.13220644386418,31.8702
"44",2024-10-09 00:03:37.431,16.15743,16.30897,4.065487,1.9536,8.133,1.16,5.10675808539786,31.8697
"45",2024-10-09 00:03:42.446,16.14774,16.31036,4.065584,1.9658,8.133,1.2821,5.10650373199485,31.8694
"46",2024-10-09 00:03:47.429,16.07282,16.31109,4.065584,1.9536,8.138,1.1233,5.10638389529324,31.8688
